individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,Individu,taxon_code_index,mediane des Index par chromosome,delta_mediane_quart
2014_Man_1016,Man,Manosque,Durance,à statuer,2014,1016,Ch,Chondrostoma sp.,X,11.5,16.0,4,branchie;caudale;hindgut;midgut,14Man1016,Pt,0.0001,0.00548115
2014_Man_1017,Man,Manosque,Durance,à statuer,2014,1017,Ch,Chondrostoma sp.,X,12.0,19.0,4,branchie;caudale;hindgut;midgut,14Man1017,Pt,0.0001,0.0
2014_Man_1018,Man,Manosque,Durance,à statuer,2014,1018,Ch,Chondrostoma sp.,X,11.0,15.0,4,branchie;caudale;hindgut;midgut,14Man1018,Pt,0.0001,0.0202354
2014_Man_1019,Man,Manosque,Durance,à statuer,2014,1019,Ch,Chondrostoma sp.,X,9.5,11.0,4,branchie;caudale;hindgut;midgut,14Man1019,Pt,0.0001,0.00794395
2014_Man_1020,Man,Manosque,Durance,à statuer,2014,1020,Ch,Chondrostoma sp.,X,9.5,11.0,4,branchie;caudale;hindgut;midgut,14Man1020,Pt,0.0001,0.00115361
2014_Man_1021,Man,Manosque,Durance,à statuer,2014,1021,Ch,Chondrostoma sp.,M,11.0,14.0,4,branchie;caudale;hindgut;midgut,14Man1021,Hy,0.2179825,0.1247321
2014_Man_1022,Man,Manosque,Durance,à statuer,2014,1022,Ch,Chondrostoma sp.,X,10.0,12.0,4,branchie;caudale;hindgut;midgut,14Man1022,Pt,0.0001,0.010545200000000001
2014_Per_1011,Per,Pertuis,Durance,à statuer,2014,1011,Ch,Chondrostoma sp.,X,13.5,29.5,4,branchie;caudale;hindgut;midgut,14Per1011,Pt,0.0001,0.01805
2014_Per_1012,Per,Pertuis,Durance,à statuer,2014,1012,Ch,Chondrostoma sp.,X,12.5,23.0,4,branchie;caudale;hindgut;midgut,14Per1012,Pt,0.0001,0.00345481
2014_Per_1013,Per,Pertuis,Durance,à statuer,2014,1013,Ch,Chondrostoma sp.,,,,4,branchie;caudale;hindgut;midgut,14Per1013,Pt,0.0001,0.0
2014_Per_1014,Per,Pertuis,Durance,à statuer,2014,1014,Ch,Chondrostoma sp.,M,13.5,32.0,4,branchie;caudale;hindgut;midgut,14Per1014,Pt,0.0001,0.006368319999999999
2014_Per_2011,Per,Pertuis,Durance,à statuer,2014,2011,Ch,Chondrostoma sp.,F,16.0,61.0,4,branchie;caudale;hindgut;midgut,14Per2011,Pt,0.0001,0.0198136
2014_Per_2012,Per,Pertuis,Durance,à statuer,2014,2012,Ch,Chondrostoma sp.,M,15.0,48.0,4,branchie;caudale;hindgut;midgut,14Per2012,Pt,0.0001,0.0
2014_Per_2013,Per,Pertuis,Durance,à statuer,2014,2013,Ch,Chondrostoma sp.,M,15.0,46.0,4,branchie;caudale;hindgut;midgut,14Per2013,Hy,0.2097815,0.1761465
2014_Per_2014,Per,Pertuis,Durance,à statuer,2014,2014,Ch,Chondrostoma sp.,M,13.5,34.0,4,branchie;caudale;hindgut;midgut,14Per2014,Pt,0.0001,0.0
2014_Per_2015,Per,Pertuis,Durance,à statuer,2014,2015,Ch,Chondrostoma sp.,M,15.0,43.0,3,branchie;caudale;midgut,14Per2015,Pt,0.0001,0.0
2015_Avi_1001,Avi,Avignon,Durance,asym. Hotu,2015,1001,Cn,Chondrostoma nasus,M,34.5,563.0,4,branchie;caudale;hindgut;midgut,15Avi1001,Hy,0.9999,0.36144699999999996
2015_Avi_1002,Avi,Avignon,Durance,asym. Hotu,2015,1002,Cn,Chondrostoma nasus,F,26.0,233.0,4,branchie;caudale;hindgut;midgut,15Avi1002,Hy,0.529004,0.06558199999999992
2015_Avi_1003,Avi,Avignon,Durance,asym. Hotu,2015,1003,Cn,Chondrostoma nasus,M,26.0,318.0,4,branchie;caudale;hindgut;midgut,15Avi1003,Cn,0.9999,0.020881999999999956
2015_Avi_1004,Avi,Avignon,Durance,asym. Hotu,2015,1004,Cn,Chondrostoma nasus,F,32.0,423.0,4,branchie;caudale;hindgut;midgut,15Avi1004,Cn,0.9999,0.022290000000000032
2015_Avi_1005,Avi,Avignon,Durance,asym. Hotu,2015,1005,Cn,Chondrostoma nasus,M,27.5,240.0,4,branchie;caudale;hindgut;midgut,15Avi1005,Cn,0.99929,0.06421699999999997
2015_Avi_1006,Avi,Avignon,Durance,asym. Hotu,2015,1006,Cn,Chondrostoma nasus,X,15.0,38.0,4,branchie;caudale;hindgut;midgut,15Avi1006,Cn,0.981626,0.024009999999999976
2015_Avi_1007,Avi,Avignon,Durance,asym. Hotu,2015,1007,Cn,Chondrostoma nasus,X,11.5,17.0,4,branchie;caudale;hindgut;midgut,15Avi1007,Cn,0.9999,0.08638400000000002
2015_Avi_1008,Avi,Avignon,Durance,asym. Hotu,2015,1008,Cn,Chondrostoma nasus,X,12.0,21.0,4,branchie;caudale;hindgut;midgut,15Avi1008,Cn,0.9999,0.01104000000000005
2015_Avi_1009,Avi,Avignon,Durance,asym. Hotu,2015,1009,Cn,Chondrostoma nasus,X,12.5,22.0,4,branchie;caudale;hindgut;midgut,15Avi1009,Cn,0.9999,0.06070900000000001
2015_Avi_1010,Avi,Avignon,Durance,asym. Hotu,2015,1010,Cn,Chondrostoma nasus,X,11.5,21.0,4,branchie;caudale;hindgut;midgut,15Avi1010,Cn,0.9999,0.023951999999999973
2015_Avi_1011,Avi,Avignon,Durance,asym. Hotu,2015,1011,Cn,Chondrostoma nasus,X,13.0,23.0,4,branchie;caudale;hindgut;midgut,15Avi1011,Cn,0.9999,0.05917300000000003
2015_Avi_1012,Avi,Avignon,Durance,asym. Hotu,2015,1012,Pt,Parachondrostoma toxostoma,F,20.0,98.0,4,branchie;caudale;hindgut;midgut,15Avi1012,Hy,0.0001,0.39093300000000003
2015_Avi_1013,Avi,Avignon,Durance,asym. Hotu,2015,1013,Pt,Parachondrostoma toxostoma,M,23.0,139.0,4,branchie;caudale;hindgut;midgut,15Avi1013,Hy,0.28511410000000004,0.33378589999999997
2015_Bau_1001,Bau,Baume,Ardèche,asym. Toxo,2015,1001,Ch,Chondrostoma sp.,F,21.5,100.0,4,branchie;caudale;hindgut;midgut,15Bau1001,Pt,0.0001,0.0011884
2015_Bau_1002,Bau,Baume,Ardèche,asym. Toxo,2015,1002,Ch,Chondrostoma sp.,F,17.5,65.0,4,branchie;caudale;hindgut;midgut,15Bau1002,Pt,0.0001,0.00046527
2015_Bau_1003,Bau,Baume,Ardèche,asym. Toxo,2015,1003,Ch,Chondrostoma sp.,M,23.0,130.0,4,branchie;caudale;hindgut;midgut,15Bau1003,Pt,0.0001,0.0
2015_Bau_1004,Bau,Baume,Ardèche,asym. Toxo,2015,1004,Ch,Chondrostoma sp.,F,17.0,62.0,4,branchie;caudale;hindgut;midgut,15Bau1004,Pt,0.0001,0.07919129999999999
2015_Bau_1005,Bau,Baume,Ardèche,asym. Toxo,2015,1005,Ch,Chondrostoma sp.,M,21.0,107.0,4,branchie;caudale;hindgut;midgut,15Bau1005,Pt,0.004509865000000001,0.039507935
2015_Bau_1006,Bau,Baume,Ardèche,asym. Toxo,2015,1006,Ch,Chondrostoma sp.,F,24.0,163.0,4,branchie;caudale;hindgut;midgut,15Bau1006,Hy,0.5132975,0.09612850000000006
2015_Bau_1007,Bau,Baume,Ardèche,asym. Toxo,2015,1007,Ch,Chondrostoma sp.,F,24.0,155.0,4,branchie;caudale;hindgut;midgut,15Bau1007,Pt,0.0001,0.00827844
2015_Bau_1008,Bau,Baume,Ardèche,asym. Toxo,2015,1008,Ch,Chondrostoma sp.,M,18.0,70.0,4,branchie;caudale;hindgut;midgut,15Bau1008,Pt,0.0001,0.039034
2015_Bau_1009,Bau,Baume,Ardèche,asym. Toxo,2015,1009,Ch,Chondrostoma sp.,F,22.0,107.0,4,branchie;caudale;hindgut;midgut,15Bau1009,Pt,0.0001,0.0190407
2015_Bau_1010,Bau,Baume,Ardèche,asym. Toxo,2015,1010,Ch,Chondrostoma sp.,M,18.5,71.0,4,branchie;caudale;hindgut;midgut,15Bau1010,Hy,0.0001,0.375879
2015_Bau_1011,Bau,Baume,Ardèche,asym. Toxo,2015,1011,Ch,Chondrostoma sp.,M,21.0,89.0,4,branchie;caudale;hindgut;midgut,15Bau1011,Pt,0.00156659,0.04267271
2015_Bau_1012,Bau,Baume,Ardèche,asym. Toxo,2015,1012,Ch,Chondrostoma sp.,F,17.5,53.0,4,branchie;caudale;hindgut;midgut,15Bau1012,Pt,0.0001,0.014222100000000001
2015_Bau_1013,Bau,Baume,Ardèche,asym. Toxo,2015,1013,Ch,Chondrostoma sp.,M,16.0,49.0,4,branchie;caudale;hindgut;midgut,15Bau1013,Pt,0.0001,0.0409044
2015_Bau_1014,Bau,Baume,Ardèche,asym. Toxo,2015,1014,Ch,Chondrostoma sp.,,22.0,115.0,4,branchie;caudale;hindgut;midgut,15Bau1014,Pt,0.00344197,0.03864973
2015_Bau_1015,Bau,Baume,Ardèche,asym. Toxo,2015,1015,Ch,Chondrostoma sp.,M,19.0,77.0,4,branchie;caudale;hindgut;midgut,15Bau1015,Pt,0.0001,0.0171402
2015_Bau_1016,Bau,Baume,Ardèche,asym. Toxo,2015,1016,Ch,Chondrostoma sp.,F,18.0,63.0,4,branchie;caudale;hindgut;midgut,15Bau1016,Hy,0.02028617,0.44522083
2015_Bau_1017,Bau,Baume,Ardèche,asym. Toxo,2015,1017,Ch,Chondrostoma sp.,M,17.0,60.0,4,branchie;caudale;hindgut;midgut,15Bau1017,Pt,0.01931,0.026522699999999996
2015_Bau_1018,Bau,Baume,Ardèche,asym. Toxo,2015,1018,Ch,Chondrostoma sp.,M,19.5,84.0,4,branchie;caudale;hindgut;midgut,15Bau1018,Pt,0.0001,0.0420278
2015_Bau_1019,Bau,Baume,Ardèche,asym. Toxo,2015,1019,Ch,Chondrostoma sp.,M,15.0,39.0,4,branchie;caudale;hindgut;midgut,15Bau1019,Pt,0.0001,0.00373055
2015_Bau_1020,Bau,Baume,Ardèche,asym. Toxo,2015,1020,Ch,Chondrostoma sp.,M,18.5,73.0,4,branchie;caudale;hindgut;midgut,15Bau1020,Hy,0.0001,0.206549
2015_Bau_1021,Bau,Baume,Ardèche,asym. Toxo,2015,1021,Ch,Chondrostoma sp.,F,18.0,75.0,4,branchie;caudale;hindgut;midgut,15Bau1021,Pt,0.0001,0.0344185
2015_Bau_1022,Bau,Baume,Ardèche,asym. Toxo,2015,1022,Ch,Chondrostoma sp.,M,16.5,63.0,4,branchie;caudale;hindgut;midgut,15Bau1022,Pt,0.026378,0.0396818
2015_Bau_1023,Bau,Baume,Ardèche,asym. Toxo,2015,1023,Ch,Chondrostoma sp.,M,17.0,60.0,4,branchie;caudale;hindgut;midgut,15Bau1023,Pt,0.0001,0.0
2015_Bau_1024,Bau,Baume,Ardèche,asym. Toxo,2015,1024,Ch,Chondrostoma sp.,M,17.0,66.0,4,branchie;caudale;hindgut;midgut,15Bau1024,Pt,0.0001,0.0131795
2015_Bau_1025,Bau,Baume,Ardèche,asym. Toxo,2015,1025,Ch,Chondrostoma sp.,M,18.0,66.0,4,branchie;caudale;hindgut;midgut,15Bau1025,Pt,0.019029945,0.066665255
2015_Bue_1001,Bue,Büech,Durance,sympatrie+hyb,2015,1001,Ch,Chondrostoma sp.,M,30.5,386.0,4,branchie;caudale;hindgut;midgut,15Bue1001,Cn,0.9999,0.05101900000000004
2015_Bue_1002,Bue,Büech,Durance,sympatrie+hyb,2015,1002,Ch,Chondrostoma sp.,M,30.5,391.0,4,branchie;caudale;hindgut;midgut,15Bue1002,Cn,0.9999,0.015835000000000043
2015_Bue_1003,Bue,Büech,Durance,sympatrie+hyb,2015,1003,Ch,Chondrostoma sp.,M,33.5,491.0,4,branchie;caudale;hindgut;midgut,15Bue1003,Cn,0.9999,0.015947000000000044
2015_Bue_1004,Bue,Büech,Durance,sympatrie+hyb,2015,1004,Ch,Chondrostoma sp.,M,16.5,53.0,4,branchie;caudale;hindgut;midgut,15Bue1004,Pt,0.0001,0.0
2015_Bue_1005,Bue,Büech,Durance,sympatrie+hyb,2015,1005,Ch,Chondrostoma sp.,F,16.0,49.0,4,branchie;caudale;hindgut;midgut,15Bue1005,Hy,0.130852,0.06826000000000002
2015_Bue_1006,Bue,Büech,Durance,sympatrie+hyb,2015,1006,Ch,Chondrostoma sp.,F,18.0,70.0,4,branchie;caudale;hindgut;midgut,15Bue1006,Hy,0.00753796,0.11408504
2015_Bue_1007,Bue,Büech,Durance,sympatrie+hyb,2015,1007,Ch,Chondrostoma sp.,M,15.0,36.0,4,branchie;caudale;hindgut;midgut,15Bue1007,Hy,0.220115,0.09282300000000002
2015_Bue_1008,Bue,Büech,Durance,sympatrie+hyb,2015,1008,Ch,Chondrostoma sp.,M,12.5,26.0,4,branchie;caudale;hindgut;midgut,15Bue1008,Pt,0.0001,0.00945818
2015_Bue_1009,Bue,Büech,Durance,sympatrie+hyb,2015,1009,Ch,Chondrostoma sp.,M,30.5,327.0,4,branchie;caudale;hindgut;midgut,15Bue1009,Hy,0.9276935,0.1251184999999999
2015_Bue_1010,Bue,Büech,Durance,sympatrie+hyb,2015,1010,Ch,Chondrostoma sp.,M,25.0,215.0,4,branchie;caudale;hindgut;midgut,15Bue1010,Hy,0.5373025,0.11367450000000001
2015_Bue_1011,Bue,Büech,Durance,sympatrie+hyb,2015,1011,Ch,Chondrostoma sp.,X,29.0,298.0,4,branchie;caudale;hindgut;midgut,15Bue1011,Hy,0.7010149999999999,0.10766600000000004
2015_Bue_1012,Bue,Büech,Durance,sympatrie+hyb,2015,1012,Ch,Chondrostoma sp.,M,19.5,91.0,4,branchie;caudale;hindgut;midgut,15Bue1012,Hy,0.0001,0.393005
