individual_id,site_code,site_nom,riviere,role_population,annee,individual,taxon_code_actuel,espece_actuelle,sexe,taille_cm,poids_g,n_tissus_sequences,tissus,index_hybride,index_hybride_source
2015_Cab_1002,Cab,Ain,Ain,allopatrie,2015,1002,Ch,Chondrostoma sp.,F,50,1712,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1010,Cab,Ain,Ain,allopatrie,2015,1010,Ch,Chondrostoma sp.,M,40,822,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Cab_1018,Cab,Ain,Ain,allopatrie,2015,1018,Ch,Chondrostoma sp.,M,19,80,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Avi_1007,Avi,Avignon,Durance,asym. Hotu,2014,1007,Cn,Chondrostoma nasus,X,10,11,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1004,Bue,Büech,Durance,sympatrie+hyb,2014,1004,Cn,Chondrostoma nasus,NA,18.5,43,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Bue_1014,Bue,Büech,Durance,sympatrie+hyb,2014,1014,Ch,Chondrostoma sp.,NA,13,16,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Man_1010,Man,Manosque,Durance,à statuer,2014,1010,Cn,Chondrostoma nasus,X,11.5,17,4,branchie;caudale;hindgut;midgut,0,connu (Cn=0/Pt=1)
2014_Man_1018,Man,Manosque,Durance,à statuer,2014,1018,Ch,Chondrostoma sp.,X,11,15,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2014_Per_1014,Per,?,?,à statuer,2014,1014,Ch,Chondrostoma sp.,M,13.5,32,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1001,Bau,Baume,Ardèche,asym. Toxo,2015,1001,Ch,Chondrostoma sp.,F,21.5,100,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
2015_Bau_1009,Bau,Baume,Ardèche,asym. Toxo,2015,1009,Ch,Chondrostoma sp.,F,22,107,4,branchie;caudale;hindgut;midgut,,A_REMPLIR_ANDRE
