individual_id,site_code,site_nom,riviere,annee,individual,taxon_morpho,classe_genotype,index_median,D,classe_selon_regles,sexe,taille_cm,n_tissus,bloc_numerotation,utilisable_3000,n_tissus_utilisables
2015_Bau_1009,Bau,Baume,Ardèche,2015,1009,Ch,Pt,0.0001,0.0190407,pur Pt,F,22.0,4,A (1001-1010),True,3
2015_Bau_1010,Bau,Baume,Ardèche,2015,1010,Ch,Hy,0.0001,0.375879,introgressé Pt,M,18.5,4,A (1001-1010),True,3
2015_Bau_1011,Bau,Baume,Ardèche,2015,1011,Ch,Pt,0.00156659,0.04267271,pur Pt,M,21.0,4,B (>1010),True,4
2015_Bau_1012,Bau,Baume,Ardèche,2015,1012,Ch,Pt,0.0001,0.014222100000000001,pur Pt,F,17.5,4,B (>1010),True,4
2015_Bau_1013,Bau,Baume,Ardèche,2015,1013,Ch,Pt,0.0001,0.0409044,pur Pt,M,16.0,4,B (>1010),True,4
2015_Bau_1014,Bau,Baume,Ardèche,2015,1014,Ch,Pt,0.00344197,0.03864973,pur Pt,,22.0,4,B (>1010),True,4
2015_Bau_1015,Bau,Baume,Ardèche,2015,1015,Ch,Pt,0.0001,0.0171402,pur Pt,M,19.0,4,B (>1010),True,2
2015_Bau_1016,Bau,Baume,Ardèche,2015,1016,Ch,Hy,0.02028617,0.44522083,introgressé Pt,F,18.0,4,B (>1010),True,3
2015_Bau_1017,Bau,Baume,Ardèche,2015,1017,Ch,Pt,0.01931,0.026522699999999996,pur Pt,M,17.0,4,B (>1010),True,4
2015_Bau_1018,Bau,Baume,Ardèche,2015,1018,Ch,Pt,0.0001,0.0420278,pur Pt,M,19.5,4,B (>1010),True,4
2015_Bau_1019,Bau,Baume,Ardèche,2015,1019,Ch,Pt,0.0001,0.00373055,pur Pt,M,15.0,4,B (>1010),True,4
2015_Bau_1020,Bau,Baume,Ardèche,2015,1020,Ch,Hy,0.0001,0.206549,introgressé Pt,M,18.5,4,B (>1010),True,4
2015_Bau_1021,Bau,Baume,Ardèche,2015,1021,Ch,Pt,0.0001,0.0344185,pur Pt,F,18.0,4,B (>1010),True,4
2015_Bau_1022,Bau,Baume,Ardèche,2015,1022,Ch,Pt,0.026378,0.0396818,pur Pt,M,16.5,4,B (>1010),True,4
2015_Bau_1023,Bau,Baume,Ardèche,2015,1023,Ch,Pt,0.0001,0.0,pur Pt,M,17.0,4,B (>1010),True,4
2015_Bau_1024,Bau,Baume,Ardèche,2015,1024,Ch,Pt,0.0001,0.0131795,pur Pt,M,17.0,4,B (>1010),True,4
2015_Bau_1025,Bau,Baume,Ardèche,2015,1025,Ch,Pt,0.019029945,0.066665255,pur Pt,M,18.0,4,B (>1010),True,4
2015_Bue_1001,Bue,Büech,Durance,2015,1001,Ch,Cn,0.9999,0.05101900000000004,pur Cn,M,30.5,4,A (1001-1010),True,4
2015_Bue_1002,Bue,Büech,Durance,2015,1002,Ch,Cn,0.9999,0.015835000000000043,pur Cn,M,30.5,4,A (1001-1010),True,4
2015_Bue_1003,Bue,Büech,Durance,2015,1003,Ch,Cn,0.9999,0.015947000000000044,pur Cn,M,33.5,4,A (1001-1010),True,3
2015_Bue_1004,Bue,Büech,Durance,2015,1004,Ch,Pt,0.0001,0.0,pur Pt,M,16.5,4,A (1001-1010),True,3
2015_Bue_1005,Bue,Büech,Durance,2015,1005,Ch,Hy,0.130852,0.06826000000000002,F1 (D faible),F,16.0,4,A (1001-1010),True,1
2015_Bue_1006,Bue,Büech,Durance,2015,1006,Ch,Hy,0.00753796,0.11408504,pur Pt,F,18.0,4,A (1001-1010),True,3
2015_Bue_1007,Bue,Büech,Durance,2015,1007,Ch,Hy,0.220115,0.09282300000000002,F1 (D faible),M,15.0,4,A (1001-1010),True,3
2015_Bue_1008,Bue,Büech,Durance,2015,1008,Ch,Pt,0.0001,0.00945818,pur Pt,M,12.5,4,A (1001-1010),True,4
2015_Bue_1009,Bue,Büech,Durance,2015,1009,Ch,Hy,0.9276935,0.1251184999999999,F1 (D faible),M,30.5,4,A (1001-1010),True,2
2015_Bue_1010,Bue,Büech,Durance,2015,1010,Ch,Hy,0.5373025,0.11367450000000001,F1 (D faible),M,25.0,4,A (1001-1010),True,2
2015_Bue_1011,Bue,Büech,Durance,2015,1011,Ch,Hy,0.7010149999999999,0.10766600000000004,F1 (D faible),X,29.0,4,B (>1010),True,2
2015_Bue_1012,Bue,Büech,Durance,2015,1012,Ch,Hy,0.0001,0.393005,introgressé Pt,M,19.5,4,B (>1010),True,4
2015_Bue_1013,Bue,Büech,Durance,2015,1013,Ch,Pt,0.0001,0.0261861,pur Pt,M,21.0,4,B (>1010),True,4
2015_Bue_1014,Bue,Büech,Durance,2015,1014,Ch,Pt,0.001654999999999962,0.0,pur Pt,M,18.0,4,B (>1010),True,2
2015_Bue_1015,Bue,Büech,Durance,2015,1015,Ch,Pt,0.0001,0.0178451,pur Pt,M,16.0,4,B (>1010),True,4
2015_Bue_1016,Bue,Büech,Durance,2015,1016,Ch,Hy,0.8887309999999999,0.15708699999999998,F1 (D faible),M,30.0,4,B (>1010),True,3
2015_Bue_1017,Bue,Büech,Durance,2015,1017,Ch,Cn,0.985546,0.08171899999999999,pur Cn,M,31.5,4,B (>1010),True,4
2015_Bue_1018,Bue,Büech,Durance,2015,1018,Ch,Hy,0.8807585,0.09011049999999998,F1 (D faible),X,31.0,4,B (>1010),True,3
2015_Caa_1001,Caa,canal,Durance,2015,1001,Ch,Cn,0.947083,0.052817,F1 (D faible),X,14.0,4,A (1001-1010),True,3
2015_Caa_1002,Caa,canal,Durance,2015,1002,Ch,Cn,0.9994325,0.1068714999999999,pur Cn,X,13.0,4,A (1001-1010),True,1
2015_Caa_1003,Caa,canal,Durance,2015,1003,Ch,Cn,0.9999,0.011297000000000001,pur Cn,X,12.0,4,A (1001-1010),True,3
2015_Caa_1004,Caa,canal,Durance,2015,1004,Ch,Cn,0.9999,0.005790999999999991,pur Cn,X,12.5,4,A (1001-1010),True,2
2015_Caa_1005,Caa,canal,Durance,2015,1005,Ch,Cn,0.9999,0.031225000000000058,pur Cn,X,13.0,4,A (1001-1010),True,3
2015_Caa_1006,Caa,canal,Durance,2015,1006,Ch,Hy,0.9211665,0.07827249999999997,F1 (D faible),X,11.5,4,A (1001-1010),True,1
2015_Caa_1007,Caa,canal,Durance,2015,1007,Ch,Cn,0.9847625,0.052702499999999985,pur Cn,X,11.5,4,A (1001-1010),True,2
2015_Caa_1008,Caa,canal,Durance,2015,1008,Ch,Hy,0.9208035,0.07993349999999999,F1 (D faible),X,11.5,4,A (1001-1010),True,3
2015_Caa_1009,Caa,canal,Durance,2015,1009,Ch,Cn,0.9999,0.03842699999999999,pur Cn,X,12.0,4,A (1001-1010),True,3
2015_Caa_1010,Caa,canal,Durance,2015,1010,Ch,Cn,0.9999,0.019187999999999983,pur Cn,X,11.5,4,A (1001-1010),True,3
2015_Caa_1011,Caa,canal,Durance,2015,1011,Ch,Pt,0.0001,0.0906421,pur Pt,F,18.0,4,B (>1010),True,3
2015_Caa_1012,Caa,canal,Durance,2015,1012,Ch,Pt,0.0001,0.0,pur Pt,M,15.5,4,B (>1010),True,3
2015_Caa_1013,Caa,canal,Durance,2015,1013,Ch,Pt,0.0001,0.0214899,pur Pt,M,16.5,4,B (>1010),True,3
2015_Caa_1014,Caa,canal,Durance,2015,1014,Ch,Pt,0.0001,0.008547260000000001,pur Pt,M,15.0,4,B (>1010),True,3
2015_Caa_1015,Caa,canal,Durance,2015,1015,Ch,Hy,0.7446605,0.20081149999999992,F2 / recombinant (D élevé),M,14.5,4,B (>1010),True,2
2015_Caa_1016,Caa,canal,Durance,2015,1016,Ch,Pt,0.003348402,0.030516898,pur Pt,X,11.5,4,B (>1010),True,3
2015_Caa_1017,Caa,canal,Durance,2015,1017,Ch,Hy,0.1006175,0.04702049999999999,F1 (D faible),X,12.5,4,B (>1010),True,2
2015_Caa_1018,Caa,canal,Durance,2015,1018,Ch,Pt,0.0001,0.0258486,pur Pt,X,10.5,4,B (>1010),True,2
2015_Caa_1019,Caa,canal,Durance,2015,1019,Ch,Pt,0.0001,0.007794419999999999,pur Pt,X,12.0,4,B (>1010),True,2
2015_Caa_1020,Caa,canal,Durance,2015,1020,Ch,Pt,0.0001,0.0260511,pur Pt,X,9.5,4,B (>1010),True,3
2015_Cab_1001,Cab,Ain,Ain,2015,1001,Ch,Cn,0.9999,0.07011200000000006,pur Cn,F,50.0,4,A (1001-1010),True,4
2015_Cab_1002,Cab,Ain,Ain,2015,1002,Ch,Cn,0.9624035,0.043770499999999934,pur Cn,F,50.0,4,A (1001-1010),True,4
2015_Cab_1003,Cab,Ain,Ain,2015,1003,Ch,Cn,0.9790135,0.04033549999999997,pur Cn,M,19.0,4,A (1001-1010),True,4
2015_Cab_1004,Cab,Ain,Ain,2015,1004,Ch,Cn,0.9916195,0.051615500000000036,pur Cn,M,42.5,4,A (1001-1010),True,4
2015_Cab_1005,Cab,Ain,Ain,2015,1005,Ch,Cn,0.9999,0.04226799999999997,pur Cn,F,43.0,4,A (1001-1010),True,4
2015_Cab_1006,Cab,Ain,Ain,2015,1006,Ch,Cn,0.9676345,0.0767025,pur Cn,F,32.5,4,A (1001-1010),True,4
2015_Cab_1007,Cab,Ain,Ain,2015,1007,Ch,Cn,0.986855,0.040076,pur Cn,M,26.0,4,A (1001-1010),True,4
2015_Cab_1008,Cab,Ain,Ain,2015,1008,Ch,Cn,0.997914,0.01697700000000002,pur Cn,M,47.0,4,A (1001-1010),True,4
2015_Cab_1009,Cab,Ain,Ain,2015,1009,Ch,Hy,0.8998935,0.13065250000000006,F1 (D faible),F,42.0,4,A (1001-1010),True,4
2015_Cab_1010,Cab,Ain,Ain,2015,1010,Ch,Hy,0.759876,0.07340000000000002,F1 (D faible),M,40.0,4,A (1001-1010),True,4
2015_Cab_1011,Cab,Ain,Ain,2015,1011,Ch,Pt,0.00042399999999997995,0.0,pur Pt,F,23.0,4,B (>1010),True,3
