dada2_id,individual_id,run_label,library,tissue,site_code,station,riviere,latitude,longitude,date_collecte,annee,individual,categorie,categorie_aout_12chr,type_genome,inclus_passe1,qvalues_foie,index_mediane_andre,delta_mediane_quart,taxon_code_avant_genotypage,plate,well,well_row,well_col,col_rank_site,col_rank_station,qc_flag
15Cab1002Ch01A__durance1,2015_Cab_1002,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1002,Cn,Cn,pur,True,True,0.9624035,0.043770499999999934,Ch,1,H02,H,02,1,2,
15Cab1010Ch01A__durance1,2015_Cab_1010,durance1,A,caudale,Cab,Pont-d'Ain,Suran,46.048,5.324,2015-08-26,2015,1010,Hy,Hy,intermediaire,True,True,0.759876,0.07340000000000002,Ch,1,H03,H,03,2,3,
15Cab1018Ch01A__durance1,2015_Cab_1018,durance1,A,caudale,Cab,Chavannes-sur-Suran,Suran,46.264389,5.429444,2015-08-26,2015,1018,Pt,Pt,pur,True,True,0.0001,0.018595900000000002,Ch,1,H04,H,04,3,4,
14Avi1007Cn01A__durance1,2014_Avi_1007,durance1,A,caudale,Avi,Avignon,Durance,43.913,4.820722,2014-07-17;2015-07-10,2014,1007,Cn,Cn,pur,True,True,0.9999,0.010548000000000002,Cn,1,H05,H,05,1,1,
14Bue1004Cn01A__durance1,2014_Bue_1004,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1004,Cn,Cn,pur,True,True,0.9999,0.01164900000000002,Cn,1,H06,H,06,1,1,mock_contaminated
14Bue1014Ch01A__durance1,2014_Bue_1014,durance1,A,caudale,Bue,Confluence Buech-Meouge,Buech,44.262,5.828,2014-07-03;2015-07-17,2014,1014,Pt,Pt,pur,True,True,0.00459266,0.015245940000000001,Ch,1,H07,H,07,2,2,
14Man1010Cn01A__durance1,2014_Man_1010,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1010,Hy,Pt,quasi-pur,False,True,0.0001,0.0,Cn,1,H08,H,08,1,1,
14Man1018Ch01A__durance1,2014_Man_1018,durance1,A,caudale,Man,Manosque-Oraison,Durance,43.919667,5.896278,2014-07-23,2014,1018,Pt,Pt,pur,True,True,0.0001,0.0202354,Ch,1,H09,H,09,2,2,
14per1014Ch01A__durance1,2014_Per_1014,durance1,A,caudale,Per,Pertuis,Durance,43.668139,5.493,2014-07-07;2014-08-20,2014,1014,Pt,Pt,pur,True,True,0.0001,0.006368319999999999,Ch,1,H10,H,10,1,1,
15Bau1001Ch01A__durance1,2015_Bau_1001,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1001,Pt,Pt,pur,True,True,0.0001,0.0011884,Ch,2,A01,A,01,1,1,
15Bau1009Ch01A__durance1,2015_Bau_1009,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1009,Pt,Pt,pur,True,True,0.0001,0.0190407,Ch,2,A02,A,02,2,2,
15Bau1017Ch01A__durance1,2015_Bau_1017,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1017,Pt,Pt,pur,True,True,0.01931,0.026522699999999996,Ch,2,A03,A,03,3,3,
15Bau1025Ch01A__durance1,2015_Bau_1025,durance1,A,caudale,Bau,Rosieres,Beaume,44.475,4.264,2015-07-22,2015,1025,Pt,Pt,pur,True,True,0.019029945,0.066665255,Ch,2,A04,A,04,4,4,
15Jus1008Ch01A__durance1,2015_Jus_1008,durance1,A,caudale,Jus,Saint-Just-d'Ardeche,Ardeche,44.286,4.597833,2015-07-21,2015,1008,Pt,Pt,pur,True,False,0.045518999999999976,0.01,Ch,2,A05,A,05,2,2,
15Jus1016Ch01A__durance1,2015_Jus_1016,durance1,A,caudale,Jus,Saint-Just-d'Ardeche,Ardeche,44.286,4.597833,2015-07-21,2015,1016,Hy,Hy,quasi-pur,False,True,0.9999,0.23044900000000001,Ch,2,A06,A,06,3,3,
15Caa1005Ch01A__durance1,2015_Caa_1005,durance1,A,caudale,Caa,Canal (usine du Largue),Canal,43.853389,5.858444,2015-09-08,2015,1005,Cn,Cn,pur,True,True,0.9999,0.031225000000000058,Ch,2,A07,A,07,2,2,
15Caa1013Ch01A__durance1,2015_Caa_1013,durance1,A,caudale,Caa,Canal (usine du Largue),Canal,43.853389,5.858444,2015-09-08,2015,1013,Pt,Pt,pur,True,True,0.0001,0.0214899,Ch,2,A08,A,08,3,3,
